email_id,generated_profile
769,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_information"": {
      ""interests"": [""weight loss"", ""sales""],
      ""financial_motivations"": ""earning $2500.00 per week"",
      ""business_opportunities"": ""reselling a weight loss patch""
    },
    ""inferred_targeting_signals"": {
      ""industry"": ""health and wellness"",
      ""experience_level"": ""entrepreneurial and sales-oriented""
    }
  }
}"
747,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""interests"": ""online sales and growth"",
      ""financial_motivations"": ""free offers and risk-free opportunities""
    },
    ""inferred"": {
      ""industry"": ""business or marketing"",
      ""experience_level"": ""likely an entrepreneur or small business owner""
    }
  }
}"
805,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_information"": {
      ""financial_motivations"": ""interested in making an additional income"",
      ""business_opportunities"": ""looking for a real program that produces large revenues""
    },
    ""inferred_targeting_signals"": {
      ""interests"": ""entrepreneurship, business, finance, making money"",
      ""experience_level"": ""likely has some experience in business or finance"",
      ""industry"": ""business, finance, entrepreneurship"",
      ""financial_status"": ""likely has a middle to high income, but seeking additional income""
    }
  }
}"
743,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""industry"": ""unknown""
    },
    ""inferred"": {
      ""interests"": ""business and professional recognition"",
      ""financial motivations"": ""potential benefits from being listed on the who's who CD-ROM"",
      ""health concerns"": ""none mentioned"",
      ""experience level"": ""highly respected professional in their field of expertise"",
      ""attributes"": {
        ""likely a professional or business owner"",
        ""has an online presence or is referred by existing members""
      }
    }
  }
}"
755,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""location"": ""Southern California""
    },
    ""inferred"": {
      ""interests"": [""auto insurance"", ""saving money""],
      ""financial motivations"": [""reducing insurance costs""],
      ""experience level"": ""likely a home mechanic or car owner""
    }
  }
}"
758,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""financial_motivations"": true
    },
    ""inferred"": {
      ""financial_motivations"": true,
      ""interests"": ""financial freedom"",
      ""experience_level"": ""likely entrepreneurial or interested in side hustles"",
      ""industry"": ""interested in real estate or financial services""
    }
  }
}"
815,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""interests"": [""family history"", ""genealogy"", ""ancestors""],
    ""financial_motivations"": [""desire for knowledge"", ""curiosity""],
    ""inferred_characteristics"": {
      ""age_group"": ""adult"",
      ""income_level"": ""middle_to_upper"",
      ""education_level"": ""high_school_or_higher""
    },
    ""targeted_signals"": {
      ""marital_status"": ""married_or_separated"",
      ""family_status"": ""with_children""
    },
    ""explicit_information"": {
      ""nationality"": ""all nationalities""
    },
    ""inferred_industry"": [""genealogy"", ""family_history""],
    ""experience_level"": ""general_interest""
  }
}"
729,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_info"": {
      ""financial_motivation"": ""improve present financial situation"",
      ""earnings_goal"": ""several thousand dollars per month""
    },
    ""inferred_targeting_signals"": {
      ""industry"": ""entrepreneurship"",
      ""experience_level"": ""serious minded entrepreneurs"",
      ""interests"": ""home-based business opportunity"",
      ""financial_motivations"": ""desire to change the quality of life"",
      ""business_opportunities"": ""proven turn-key system"",
      ""health_concerns"": ""none explicitly stated""
    }
  }
}"
756,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_info"": {
      ""interests"": [""government marketplace"", ""sales professionals"", ""business opportunities""],
      ""industry"": [""government contracting"", ""sales""]
    },
    ""inferred_targeting_signals"": {
      ""financial_motivations"": [""cost savings"", ""business growth""],
      ""experience_level"": [""established professionals"", ""decision-makers""],
      ""job_role"": [""executive"", ""manager"", ""sales professional""],
      ""company_size"": [""large"", ""enterprise""]
    }
  }
}"
813,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_information"": {
      ""financial_motivations"": ""retirement planning""
    },
    ""inferred_targeting_signals"": {
      ""interests"": ""investing in energy sector"",
      ""industry"": ""energy"",
      ""experience_level"": ""general public"",
      ""financial_goals"": ""long-term savings and income generation""
    }
  }
}"
751,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""interests"": [""gambling"", ""travel"", ""luxury""],
    ""financial_motivations"": [""potential to win a free vacation""],
    ""business_opportunities"": [""none explicitly stated""],
    ""health_concerns"": [""none explicitly stated""],
    ""industry"": [""tourism"", ""entertainment""],
    ""experience_level"": [""inferred to be a leisure-seeker, potentially middle to upper-class""]
  }
}"
767,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_info"": {
      ""geographic_location"": ""Canada/USA""
    },
    ""inferred_targeting_signals"": {
      ""interests"": [""free internet search engine service"", ""web browsing""],
      ""financial_motivations"": ""none explicitly stated"",
      ""business_opportunities"": ""none explicitly stated"",
      ""health_concerns"": ""none explicitly stated"",
      ""industry"": ""online services"",
      ""experience_level"": ""general public""
    }
  }
}"
740,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_info"": {
      ""financial_motivation"": ""increasing sales without spending a fortune on advertising"",
      ""business_opportunity"": ""finding pre-qualified sales leads""
    },
    ""inferred_targeting_signals"": {
      ""industry"": ""sales, marketing, and business development"",
      ""experience_level"": ""entrepreneur or business owner"",
      ""interests"": ""online sales leads, lead generation, and business growth""
    }
  }
}"
765,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_information"": {
      ""has_uncollected_judicial_judgment"": true
    },
    ""inferred_targeting_signals"": {
      ""likely_business_owner"": true,
      ""financial_motivations"": {
        ""looking_to_collect_unpaid_judgments"": true
      },
      ""industry"": {
        ""likely_business_services"": true
      },
      ""experience_level"": {
        ""likely_established_business"": true
      }
    }
  }
}"
734,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""financial_motivations"": ""free web sites with no charge, no commitment, and no problem""
    },
    ""inferred"": {
      ""interests"": ""internet marketing, opportunity seeking, web development, and online business"",
      ""experience_level"": ""likely intermediate to advanced, as the email assumes some level of familiarity with web sites and online business""
    }
  }
}"
736,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""interested_in_discounts"": true,
      ""potential_consumer"": true
    },
    ""inferred"": {
      ""financial_motivations"": ""cost savings"",
      ""industry"": ""general consumer"",
      ""experience_level"": ""individual or small business owner""
    }
  }
}"
772,"{
    ""name"": ""unknown"",
    ""job_title"": ""unknown"",
    ""company"": ""unknown"",
    ""attributes"": {
        ""industry"": ""healthcare"",
        ""experience_level"": ""mid-level (managers or decision-makers)"",
        ""interests"": ""wound care, hospital management, product innovation"",
        ""financial_motivations"": ""cost-saving, infection risk reduction, patient care"",
        ""business_opportunities"": ""product supply, partnership, or collaboration opportunities""
    }
}"
753,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit_info"": {
      ""interested_in_money_making_programs"": true
    },
    ""inferred_targeting_signals"": {
      ""financial_motivations"": ""seeking_unlimited_cash"",
      ""interested_in_business_opportunities"": true
    }
  }
}"
818,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""interests"": [""online shopping"", ""fashion""],
    ""financial motivations"": [""discounts"", ""promotions""],
    ""business opportunities"": [""e-commerce"", ""retail""],
    ""health concerns"": [""none""],
    ""industry"": [""retail"", ""fashion""],
    ""experience level"": ""general public""
  }
}"
730,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""interested_in_easy_work"": true,
      ""financial_motivation"": ""earn_hundreds_of_dollars_weekly"",
      ""industry"": ""home_product_assembly""
    },
    ""inferred"": {
      ""age"": ""adult"",
      ""income_level"": ""lower_to_middle"",
      ""educational_background"": ""high_school_or_equivalent"",
      ""experience_level"": ""little_to_no_experience""
    },
    ""financial"": {
      ""financial_status"": ""working_class"",
      ""financial_goals"": ""supplement_income""
    },
    ""interests"": {
      ""flexible_hours"": true,
      ""entrepreneurial_spirit"": true
    }
  }
}"
1023,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""language_interests"": [""German"", ""English"", ""French"", ""Italian""]
    },
    ""inferred"": {
      ""language_proficiency"": [""native speaker"", ""proficient in multiple languages""],
      ""interests"": [""linguistics"", ""language games"", ""puzzles""],
      ""financial_motivations"": [""entertainment"", ""hobby""],
      ""industry"": [""education"", ""research""],
      ""experience_level"": [""layperson"", ""enthusiast""]
    }
  }
}"
968,"{
  ""name"": ""Rachel A. Lavin"",
  ""job_title"": ""College Undergraduate"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""interests"": [""linguistic anthropology"", ""research project""],
    ""financial_motivations"": ""summer opportunities for a college undergraduate"",
    ""education_level"": ""Undergraduate"",
    ""industry"": ""Social Sciences/Academia""
  }
}"
1068,"{
  ""name"": ""Lee Forester"",
  ""job_title"": ""unknown"",
  ""company"": ""Smaug CS Hope"",
  ""attributes"": {
    ""explicit"": {
      ""interests"": [""linguistic font sets"", ""macintosh""],
      ""specific_character_requirements"": [""germanic characters""]
    },
    ""inferred"": {
      ""industry"": [""education"", ""computer science""],
      ""experience_level"": [""student"", ""professional""],
      ""financial_motivations"": [""personal use"", ""academic purposes""],
      ""business_opportunities"": [""none explicitly mentioned""],
      ""health_concerns"": [""none explicitly mentioned""]
    }
  }
}"
1026,"{
  ""name"": ""unknown"",
  ""job_title"": ""Professor of Linguistics"",
  ""company"": ""University of California, San Diego"",
  ""attributes"": {
    ""interests"": [""Formal Semantics"", ""Syntax Interface""],
    ""financial_motivations"": [""Salary commensurate with rank and experience""],
    ""business_opportunities"": [""Tenured/Tenure-track position""],
    ""industry"": [""Academia""],
    ""experience_level"": [""Established researcher with proven record""]
  }
}"
1014,"{
  ""name"": ""Massimo"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""interests"": [""linguistics"", ""language comparison"", ""quantitative information""],
    ""financial_motivations"": ""unknown"",
    ""business_opportunities"": ""unknown"",
    ""health_concerns"": ""unknown"",
    ""industry"": ""academia/research"",
    ""experience_level"": ""unknown""
  }
}"
1091,"{
  ""name"": ""unknown"",
  ""job_title"": ""unknown"",
  ""company"": ""unknown"",
  ""attributes"": {
    ""explicit"": {
      ""interested_in_conference"": true,
      ""industry"": ""education""
    },
    ""inferred"": {
      ""experience_level"": ""unknown"",
      ""financial_motivations"": ""unknown"",
      ""health_concerns"": ""unknown"",
      ""interests"": ""academic or professional development"",
      ""business_opportunities"": ""unknown""
    }
  }
}"
1032,"{
    ""name"": ""unknown"",
    ""job_title"": ""unknown"",
    ""company"": ""unknown"",
    ""attributes"": {
        ""interests"": {
            ""explicit"": [""historical linguistics"", ""language contact"", ""medieval languages""],
            ""inferred"": [""linguistics"", ""language studies"", ""academia""]
        },
        ""financial motivations"": ""unknown"",
        ""business opportunities"": ""unknown"",
        ""health concerns"": ""unknown"",
        ""industry"": ""academia"",
        ""experience level"": ""expert""
    }
}"
