email_id,email,label,source
769,"Subject line: a new weight loss patch from north america print this form and reply by fax to 816-356 - 7310 for more info ! call our one minute information line 913-383 - 7979

the patch for weight loss is here and resellers are needed ! just stick it and forget it , it works 24 hours per day . launch date april 1 , 1998 pay no money now ! position yourself - have you sales team in = 20 place and then decide . no gamble - all win - no lose earn $ 2500 . 00 per week , you can be paid the first week ! = 20 totally new company founded by doctors ! super weight loss documentation . . . . . this isn = 92t the one to wait around on ! _ _ _ yes - reserve my position . name _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ phone _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ fax _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ c&h enterprises is a direct representative to the company . we = 20 will do everything possible to assist you in building sales . now fax to 816-356 - 7310 . your information pack will be faxed = 20 asap . you may use this form for pre-recruiting & contacting other = 20 people . just fill in your name as sponsor below and fax or e-mail = 20 it to other people . start now ! don = 92t miss the explosion ! _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ sponsors name sponsors phone sponsors fax = 20 print this form and reply by fax 816-356 - 7310 reply by fax today !",1,Ling
747,"Subject line: do n't just orbit in cyberspace , skyrocket !

launch your online sales into a new stratosphere of growth $ $ $ $ $ . for free . sign up now and get 48 hours of free , no charge access to our sampler database of over 9 million targeted / mass mail friendly email addresses . 100 % risk free offer to you . click _ now",1,Ling
805,"Subject line: the time for financial freedom is now ! !

abc super re-qualifier associated benefit consultants dear fellow entrepreneur , this letter is an urgent attempt to reach you ! we would like to hear from you within the next 24 to 48 hrs . hopefully , this has reached you at an opportune time for your immediate reply ! your attention is needed today as your new income can start in as little as 4 to 7 days from now ! we want you to hear first-hand about an exciting breakthrough in money-making opportunities . the abc super re - qualifier . this is the fast , simple and most powerful money-maker you have hoped to discover ! research has shown that a person 's potential for success increases by 80 % when receiving personalized instruction . we invite you to become involved in this easy , but ingenious program that involves personal instruction from our hand-picked organization members . each has the professional skill and expertise to personally guide you to your financial freedom . you can immediately utilize an existing program that accomplishes the following : 1 . generates pre-qualified prospects and send them to you . 2 . team support - live interactive conference calls 3 . 7 . 9 cpm long distance and virtual office . 4 . stocks and ships the product directly to your customers doors . 5 . pays you daily by overnight airborne express to your front door . 6 . permits you the realistic opportunity to earn $ 24 , 000 + per month ! 7 . produce new income on a spare time , part time or full time basis . you know what wealth has always been attained by the select few who were the first to take advantage of a new and powerful opportunity . that opportunity is here . . . . . it is the abc super re - qualifier ! the time for your financial freedom is now ! ! you must , however , be very serious and sincere about earning the income this program offers . for this reason , we have instructed our organization to devote time only to those who are genuine about improving their financial situation . are you seriously looking for a real program that produces large revenues ? if so , we urge you to call our office at the 24 hr - toll free number . 1-800 - 539-5648 leave us a message and we will be notified of your response . we will promptly return your call with all the information you will need to get you on your way to making an additional income yet this week ! remember . . . . . timing is everything ! ! to your success , john , cheryl , stephanie , bill , richard , judy & debra abc marketing team98 1-800 - 539-5648 "" this is the program others try to copy . i highly recommend abc "" - paul barron , ca "" i ' ve never seen such a fast and simple way to make a large income "" - alan louis , tx "" abc is the perfect home-based business , and the money is great "" - andrew kerr , ca "" at last a real program . with fast money . . . thanks abc - s . herman , tx "" i gave up on mlm , abc made me a believer again , within 2 weeks i have made $ 1 , 600 "" - c . s",1,Ling
743,"Subject line: who is who ! ! !

this message is being sent to you because we feel it would be beneficial to you to be included on the international executive guild 's who 's who cd - rom . if this letter has been an inconvenience to you in any way please accept our apology and simply type "" remove "" in the first space of our application form and we will take you off our database . thank you for your help in keeping this a spam free internet . ' dear candidate , you have been selected as a potentially qualified candidate for inclusion on the latest state of the art , the international executive guild 's who 's who cd - rom . our researchers gather information from many recognized sources including professional associations and societies , trade organizations , newspaper and magazine articles , web presence , and referrals from existing members . as a highly respected professional in your field of expertise , we believe your contributions merit very serious consideration for inclusion on the international executive guild 's who 's who cd - rom . to maintain the highest level of accuracy we ask you to click on the web address below and fill out the brief bit of information on our application form . there is no cost or obligation for individuals to be evaluated for inclusion and all applicants will receive a free gift compliments of the international executive guild . http : / / www . executiveguild . com / apply . html my sincere thanks , anthony ingallinella executive director the international executive guild is not affiliated or associated with marquis who 's who",1,Ling
755,"Subject line: auto insurance rates too high ?

dear nlpeople , i ' m sure you ' ll agree auto insurance costs too much . even with a good driving record , "" routine "" rate increases can drive your costs through the roof . i have discovered a way many people can sign up with an excellent company that gives amazingly low rates . they are about half of most of the rates i ' ve found shopping around for insurance in southern california . most people either qualify or have a friend who qualifies who would love to know about it . if you do n't qualify , i have another company that operates in several western states that is cheaper than many companies who claim they have "" the lowest rates available . "" just send $ 2 cash to : pva 1257 n kenmore ave # 2 los angeles , ca 90029 fold it in a piece of paper with your e - mail address and i will rush the information to you right away . if you prefer a hardcopy printout , enclose a self-addressed , stamped envelope . p . s . as a bonus i include two mechanic 's tips that save lots of time on a certain common repair job , and give you a quick and easy way to check the general condition of an engine . i have n't found these in any repair manuals or books before . these are great for home mechanics !",1,Ling
758,"Subject line: free book ! from # 1 best - selling financial author , robert allen

i have discovered what i believe is the perfect home-based business . although i ' m well known for real-estate investment books and seminars , = this new business has absolutely nothing to do with real estate . in = fact , it 's much easier and far less risky . it involves no employees , = little start-up cash , little risk and it 's so simple , anyone can do it . you could be earning $ 1 , 000 a week in as little as 90 days . the number to call immediately is ( 888 ) 303-0621 . it 's a toll-free = 2 - minute 24 - hour recorded message . this may be the answer you have been = seeking . warmly , robert g . allen p . s . i want to show you how to create extra streams of income quickly . = go to the phone and call now . '",1,Ling
815,"Subject line: family name history

discover your family history come visit our website at , http : / / www . traceit . com free search do you know who your ancestors are and what they did ? do you know when your surname first appeared ? are you curious about where your family roots originate ? now you can fill in the missing pieces of this puzzle . join the satisfied multitudes who have discovered their complete family surname history . all nationalities . it 's easy . just key your last name into our online index , and in seconds we will tell you it 's origin and much more . see if we ' ve researched your complete family name history during our 25 years of professional research . read a sample history , plus - free coat of arms keychain with your family 's most ancient coat of arms & crest . all in full color . your family name history parchment is 11x 17 "" , approximately 1700 words . it is beautifully illuminated by your most ancient coat of arms in full authentic heraldic colors . over 500 urls on family and heraldic history . please come visit our website at , http : / / www . traceit . com free search hall of names international inc . 1-888 - my - roots",1,Ling
729,"Subject line: a proven wealth building system . - ( 9113 )

innovative publically traded company offers full or part-time home-base business opportunity , with the potential to earn thousands from the comfort of your own home . * this business is not multi-level marketing or a get rich quick scheme . * your customers will pay you directly . * this is a proven turn-key system . * excellent training and support are included . i ' m looking for serious minded entrepreneurs with a burning desire to improve their present financial situation and who are committed to earning several thousand dollars per month and changing the quality of their life - today ! ! ! call only if you are serious and leave your name and telephone number . 1-888 - 248-1137 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - to be removed from future mailings email email judge708 @ mail . md with remove as the subject . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 38026",1,Ling
756,"Subject line: free copy of "" selling it products to the government marketplace ""

hi , over 100 , 000 sales professionals have read our informative white paper report "" selling it products and services to the government marketplace "" . this is a free report . there are no ifs , ands or buts , it 's free . now i ' m announcing the completion of the updated and new report . just call me at 1-800 - 537-3786 and receive information on how to get the report on the internet within 5 minutes , at no cost and no obligation . i hope you enjoy it . feel free to forward this message to other interested parties . thank you , john raymond executive vice president ps : my research shows that this information is of interest to you . if you prefer , place "" remove "" in the subject line and you will be promptly removed . sorry for the inconvenience .",1,Ling
813,"Subject line: 50 % or better returns .

federally mandated , electric deregulation , allows for huge savings for consumers and huge profits for investors . profit from the break up of america 's largest monopoly . electricity deregulation ! the utility industry is 2 1 / 2 times the size of the telecommunications industry and proves to be at least 2 1 / 2 times the opportunity . "" usa today ( magazine ) , nov . 1997 v126n2630p14 rep . schaefer ( r . - colo . ) chairman of the house energy and power subcommittee as an owner of an electric company you could realize a potential annual return of 50 to 100 % on your investment . every time someone turns on the lights , you profit ! ! there are a very limited number of openings for partners still available in this ira approved program that should give you and your family the opportunity for an easy retirement . learn how this investment of several thousand dollars could grow to 30-40 - 50 thousand dollars or more in the next few years and provide you with an income for life . yes , ira qualified ! this is a genuine business , with real agreements . this is not multi level marketing and there is no selling involved . you are being offered an opportunity to invest and reap the rewards by participating in the potential profits of an electric company . begin your future today ! ! ! call us at 1-800 - 444-1050 for a free , no cost , no obligation video presentation and information package that contains the complete details of our outstanding opportunity .",1,Ling
